GIACR,German Orthography,Cognate Key,Num of Names,Notes / Instructions
Adelaide,Adelaide,Adelhaidis,1,
Adelhaide,Adelhaide,Adelhaidis,1,
Adelheid,Adelheid,Adelhaidis,1,
Adelheide,Adelheide,Adelhaidis,1,
Adelheit,Adelheit,Adelhaidis,1,
Adolphine,Adolphine,Adolphina,1,
Agnes,Agnes,Agnesa,1,
Agnesa,Agnesa,Agnesa,1,
Agnese,Agnese,Agnesa,1,
Albertine,Albertine,Albertina,1,
Albine,Albine,Albine,1,Unknown origin.
Alive,Alive,Aliva,1,
Alma,Alma,Alma,1,
Alwina,Alwina,Alvina,1,
Alwine,Alwine,Alvina,1,
Amalia,Amalia,Amalia,1,
Amalie,Amalie,Amalia,1,
Ana,Ana,Anna,1,
Anna,Anna,Anna,1,
Anne,Anne,Anna,1,
Annette,Annette,Anna,1,
Antoinette,Antoinette,Antonia,1,
Apollana,Apollana,Apollonia,1,
Apollonia,Apollonia,Apollonia,1,
Appolina,Appolina,Apollonia,1,
Appollonia,Appollonia,Apollonia,1,
Arnoldine,Arnoldine,Arnoldina,1,
Augusta,Augusta,Augusta,1,
Auguste,Auguste,Augusta,1,
Augustina,Augustina,Augusta,1,
Augustine,Augustine,Augusta,1,
Aurora,Aurora,Aurora,1,
Babette,Babette,Babetta,1,Used Pseudo-Latin for Name Key.
Barbara,Barbara,Barbara,1,
Barrbara,Barrbara,Barbara,1,
Bartha,Bartha,Bartha,1,Used Pseudo-Latin for Name Key.
Bernhardine,Bernhardine,Bernardina,1,
Bertha,Bertha,Bertha,1,
Berthe,Berthe,Bertha,1,
Bora,Bora,Bora,1,Used Pseudo-Latin for Name Key.
Brigitta,Brigitta,Brigitta,1,
Bruta,Bruta,Bruta,1,Used Pseudo-Latin for Name Key.
Carla,Carla,Carola,1,
Carolina,Carolina,Carola,1,
Caroline,Caroline,Carola,1,
Catarina,Catarina,Catharina,1,
Catharina,Catharina,Catharina,1,
Catharine,Catharine,Catharina,1,
Catherina,Catherina,Catharina,1,
Cecilie,Cecilie,Caecilia,1,
Charlotte,Charlotte,Carola,1,
Christiana,Christiana,Christiana,1,
Christiane,Christiane,Christiana,1,
Christina,Christina,Christiana,1,
