GIACR,German Orthography,Cognate Key,Num of Names,Specify Place?,Place Option 1,Place Option 2,Notes / Instructions
Abraham,Abraham,Abraham,1,,,,
Adalbert,Adalbert,Adalbertus,1,,,,
Adam,Adam,Adam,1,,,,
Adolph,Adolph,Adolphus,1,,,,
Ahlf,Ahlf,Alf,1,,,,Used Pseudo-Latin for Name Key.
Albert,Albert,Adalbertus,1,,,,
Albrecht,Albrecht,Adalbertus,1,,,,
Alexander,Alexander,Alexander,1,,,,
Andreas,Andreas,Andreas,1,,,,
Anton,Anton,Antonius,1,,,,
Arnold,Arnold,Arnoldus,1,,,,
Arthur,Arthur,Arthurus,1,,,,
August,August,Augustus,1,,,,
Baldwin,Baldwin,Baldovinus,1,,,,Used Pseudo-Latin for Name Key.
Balthasar,Balthasar,Balthasar,1,,,,
Bartholomaeus,Bartholomäus,Bartholomaeus,1,,,,
Benedict,Benedict,Benedictus,1,,,,
Benedikt,Benedikt,Benedictus,1,,,,
Benjamin,Benjamin,Benjaminus,1,,,,
Bernhard,Bernhard,Bernhardus,1,,,,
Bernhardt,Bernhardt,Bernhardus,1,,,,
Blasius,Blasius,Blasius,1,,,,
Bruno,Bruno,Bruno,1,,,,
Carl,Carl,Carolus,1,,,,
Carsten,Carsten,Christianus,1,,,,
Casimir,Casimir,Casimirus,1,,,,
Caspar,Caspar,Casparus,1,,,,
Casper,Casper,Casparus,1,,,,
Charles,Charles,Carolus,1,Sometimes,"Elsaβ-Lothringen, Germany",Switzerland,Americanized spelling / French name.
Christian,Christian,Christianus,1,,,,
Christoph,Christoph,Christophorus,1,,,,
Claus,Claus,Nicolaus,1,,,,
Clemens,Clemens,Clemens,1,,,,
Conrad,Conrad,Conradus,1,,,,
Cornelius,Cornelius,Cornelius,1,,,,
Damian,Damian,Damianus,1,,,,
Daniel,Daniel,Daniel,1,,,,
David,David,David,1,,,,
Detlef,Detlef,Theodleibus,1,,,,
Diedrich,Diedrich,Theodoricus,1,,,,
Dienz,Dienz,Theodoricus,1,,,,
Dieterich,Dieterich,Theodoricus,1,,,,
Dietrich,Dietrich,Theodoricus,1,,,,
Eberhardt,Eberhardt,Everardus,1,,,,Used Pseudo-Latin for Name Key.
Edmund,Edmund,Edmundus,1,,,,
Eduard,Eduard,Eduardus,1,,,,
Edward,Edward,Eduardus,1,,,,
Ekhard,Ekhard,Ekkehardus,1,,,,
Elias,Elias,Elias,1,,,,
Emanuel,Emanuel,Emmanuel,1,,,,
Emil,Emil,Aemilius,1,,,,
Enoch,Enoch,Enoch,1,,,,
Erdmann,Erdmann,Hartmannus,1,,,,
Erich,Erich,Ericus,1,,,,
Ernst,Ernst,Ernestus,1,,,,
Eugen,Eugen,Eugenius,1,,,,
Ewald,Ewald,Evaldus,1,,,,
Fabian,Fabian,Fabianus,1,,,,
Fak,Fak,Facus,1,,,,Used Pseudo-Latin for Name Key.
Ferdinand,Ferdinand,Ferdinandus,1,,,,
Florenz,Florenz,Florentius,1,,,,
Frank,Frank,Franciscus,1,,,,
Franz,Franz,Franciscus,1,,,,
Fridrich,Fridrich,Fridericus,1,,,,
Friederich,Friederich,Fridericus,1,,,,
Friedrich,Friedrich,Fridericus,1,,,,
Friedrick,Friedrick,Fridericus,1,,,,
Fritz,Fritz,Fridericus,1,,,,
Froederich,Fröderich,Fridericus,1,,,,
Gabriel,Gabriel,Gabriel,1,,,,
Garhard,Garhard,Gerardus,1,,,,
Gebhard,Gebhard,Gebhardus,1,,,,Used Pseudo-Latin for Name Key.
Georg,Georg,Georgius,1,,,,
George,George,Georgius,1,,,,Americanized spelling
Gerd,Gerd,Gerardus,1,,,,
Gerhard,Gerhard,Gerardus,1,,,,
Gerhardt,Gerhardt,Gerardus,1,,,,
German,German,Germanus,1,,,,
Gert,Gert,Gerardus,1,,,,
Gottfried,Gottfried,Gottfriedus,1,,,,
Gotthard,Gotthard,Gotthardus,1,,,,
Gotthardt,Gotthardt,Gotthardus,1,,,,
Gotthelf,Gotthelf,Gotthilf,1,,,,
Gotthold,Gotthold,Gotthold,1,,,,
Gottlieb,Gottlieb,Gottliebus,1,,,,
Gottlob,Gottlob,Gottlob,1,,,,
Gottlub,Gottlub,Gottlob,1,,,,
Gustav,Gustav,Gustavus,1,,,,
Haiss,Haiß,Haiss,1,,,,Used Pseudo-Latin for Name Key.
Hammel,Hammel,Hamellus,1,,,,
Hanns,Hanns,Joannes,1,,,,
Hans,Hans,Joannes,1,,,,
Hanss,Hanß,Joannes,1,,,,
Hardwig,Hardwig,Hardovicus,1,,,,
Harmen,Harmen,Hermannus,1,,,,
Hartwig,Hartwig,Hardovicus,1,,,,
Heinrich,Heinrich,Henricus,1,,,,
Heinrych,Heinrych,Henricus,1,,,,
Hellmer,Hellmer,Helmar,1,,,,Used Pseudo-Latin for Name Key.
Herman,Herman,Hermannus,1,,,,
Hermann,Hermann,Hermannus,1,,,,
Hieronimus,Hieronimus,Hieronymus,1,,,,
Hiob,Hiob,Job,1,,,,"Latin name. GIACR only removes ""obvious Latin endings"" when result is a German name."
Hugo,Hugo,Hugo,1,,,,
Ignatz,Ignatz,Ignatius,1,,,,
Ignaz,Ignaz,Ignatius,1,,,,
Jacob,Jacob,Jacobus,1,,,,
Jakob,Jakob,Jacobus,1,,,,
Jan,Jan,Joannes,1,,,,Similar name likely to appear in GIACR files
Jaspar,Jaspar,Casparus,1,,,,
Jean,Jean,Joannes,1,Always,"Elsaβ-Lothringen, Germany",Switzerland,French name.
Joachim,Joachim,Joachim,1,,,,
Jobst,Jobst,Jodocus,1,,,,
Johann,Johann,Joannes,1,,,,
Johann Babtist,Johann Babtist,Joannes Baptista,2,,,,Treat as two names
Johann Baptist,Johann Baptist,Joannes Baptista,2,,,,Treat as two names
Johannes,Johannes,Joannes,1,,,,
Johannes Baptist,Johannes Baptist,Joannes Baptista,2,,,,Treat as two names
John,John,Joannes,1,,,,Americanized spelling
Jörg,Jörg,Georgius,1,,,,
Joseph,Joseph,Josephus,1,,,,
Jost,Jost,Jodocus,1,,,,
Juergen,Jürgen,Georgius,1,,,,
Julian,Julian,Julius,1,,,,
Julius,Julius,Julius,1,,,,
Justin,Justin,Justus,1,,,,
Justus,Justus,Justus,1,,,,
Karl,Karl,Carolus,1,,,,
Kasjan,Kasjan,Cassianus,1,,,,
Kaspar,Kaspar,Casparus,1,,,,
Kasper,Kasper,Casparus,1,,,,
Konrad,Konrad,Conradus,1,,,,
Laurenz,Laurenz,Laurentius,1,,,,
Lebrecht,Lebrecht,Libertus,1,,,,Used Pseudo-Latin for Name Key.
Leonhard,Leonhard,Leonhardus,1,,,,
Leonhardt,Leonhardt,Leonhardus,1,,,,
Leopald,Leopald,Leopoldus,1,,,,
Leopold,Leopold,Leopoldus,1,,,,
Librecht,Librecht,Libertus,1,,,,
Lorentz,Lorentz,Laurentius,1,,,,Similar name likely to appear in GIACR files
Lorenz,Lorenz,Laurentius,1,,,,
Louis,Louis,Ludovicus,1,,,,
Ludewig,Ludewig,Ludovicus,1,,,,
Ludwig,Ludwig,Ludovicus,1,,,,
Marcus,Marcus,Marcus,1,,,,"Latin name. GIACR only removes ""obvious Latin endings"" when result is a German name."
Marian,Marian,Marianus,1,,,,
Mark,Mark,Marcus,1,,,,
Martin,Martin,Martinus,1,,,,
Matthaeus,Matthäus,Matthaeus,1,,,,
Matthias,Matthias,Matthaeus,1,,,,
Mattias,Mattias,Matthaeus,1,,,,
Meint,Meint,Maganus,1,,,,
Michael,Michael,Michael,1,,,,
Moritz,Moritz,Mauritius,1,,,,
Moriz,Moriz,Mauritius,1,,,,
Moses,Moses,Moses,1,,,,
Naumann,Naumann,Naumann,1,,,,
Nickol,Nickol,Nicolaus,1,,,,
Nicolas,Nicolas,Nicolaus,1,,,,
Nicolaus,Nicolaus,Nicolaus,1,,,,
Nikolaus,Nikolaus,Nicolaus,1,,,,
Nordmann,Nordmann,Nordmann,1,,,,
Ollig,Ollig,Ollichus,1,,,,Used Pseudo-Latin for Name Key.
Oscar,Oscar,Anscharius,1,,,,
Oswald,Oswald,Oswaldus,1,,,,
Ottilin,Ottilin,Otto,1,,,,
Otto,Otto,Otto,1,,,,
Ottomar,Ottomar,Ottomar,1,,,,
Paul,Paul,Paulus,1,,,,
Peter,Peter,Petrus,1,,,,
Philip,Philip,Philippus,1,,,,
Philipp,Philipp,Philippus,1,,,,
Phoenix,Phönix,Phœnix,1,,,,
Reinhard,Reinhard,Reinhardus,1,,,,
Reinhardt,Reinhardt,Reinhardus,1,,,,
Reinhurst,Reinhurst,Reinhorstus,1,,,,
Rheinhard,Rheinhard,Reinhardus,1,,,,
Rheinmann,Rheinmann,Reinmannus,1,,,,
Robert,Robert,Robertus,1,,,,
Rudolph,Rudolph,Rudolphus,1,,,,
Sacharias,Sacharias,Zacharias,1,,,,
Samuel,Samuel,Samuel,1,,,,
Sebastian,Sebastian,Sebastianus,1,,,,
Seraphicus,Seraphicus,Seraphicus,1,,,,Inspired by records on FamilySearch.org. Would likely be a Catholic name.
Siegfried,Siegfried,Siegfriedus,1,,,,
Siman,Siman,Simon,1,,,,
Simon,Simon,Simon,1,,,,
Theobald,Theobald,Theobaldus,1,,,,
Theodor,Theodor,Theodorus,1,,,,
Theophil,Theophil,Theophilus,1,,,,
Thomas,Thomas,Thomas,1,,,,
Ulrich,Ulrich,Ulricus,1,,,,
Urban,Urban,Urbanus,1,,,,
Valentin,Valentin,Valentinus,1,,,,
Victor,Victor,Victorius,1,,,,
Waldemar,Waldemar,Vladimirus,1,,,,
Walter,Walter,Gualterius,1,,,,
Werner,Werner,Wernerus,1,,,,
Wigand,Wigand,Guigandus,1,,,,Used Pseudo-Latin for Name Key.
Wilhelm,Wilhelm,Gulielmus,1,,,,
Willem,Willem,Gulielmus,1,,,,
Willi,Willi,Gulielmus,1,,,,
William,William,Gulielmus,1,,,,Americanized spelling
Xaver,Xaver,Xaverius,1,,,,
Zacharias,Zacharias,Zacharias,1,,,,
