"[?]*stfriesland, Hannover"
"* Ostfriesland [?], Hannover [?]"
"Aachen, Rheinprovinz"
"Aarau, Aargau, Switzerland"
"Aarau, Switzerland"
"Aarburg, Aargau, Switzerland"
"Aargau (canton), Switzerland"
"Aargau (canton), Switzerland [?]"
"Aargau, Switzerland"
"Abahofen [?], Pfalz, Bayern"
"Abbenfeld [?], Hessen-Nassau"
"Abenau [?], Lippe"
"Achelriede, Hannover"
"Achelriede, Osnabrück, Hannover"
"Achen, Germany"
"Achenheim [?], Pfalz, Bayern"
"Achensheim, Pfalz, Bayern"
"Acht [?], Hannover"
"Adelebsen, Hannover"
"Adelshausen, Hessen-Nassau"
"Adenrothen [?], Hannover"
"Adlum, Hannover"
"Adorf, Waldeck"
"Affinghausen, Hannover"
"Agilla, Ostpreußen"
"Ahlden Aller, Hannover"
"Ahldorf, Württemberg"
"Ahlen, Hannover"
"Ahlerstedt, Hannover"
"Ahlfeld [?], Hessen [?]"
"Ahlshausen-Sievershausen [?], Braunschweig"
"Ahrensfelde, Berlin, Brandenburg"
"Ahrensfelde, Brandenburg"
"Aichstetten, Württemberg"
"Aidlingen, Böblingen, Württemberg"
"Aimoz [?], Graubünden, Switzerland"
"Albena [?], Lippe"
"Albertihsen [?], Herford, Westfalen [?]"
"Albertshausen, Waldeck"
"Albisheim, Bayern"
"Albrechts, Suhl, Sachsen (province)"
"Albungen, Hessen-Nassau"
"Allenberg, Pfalz, Bayern"
"Allendorf [?], Hessen"
"Allendorf, Giessen, Hessen"
"Allendorf, Hessen"
"Alperstedt, Sachsen-Weimar-Eisenach [?]"
"Alphinsbach, Oberndorf, Württemberg"
"Alphisbach [?], Württemberg"
"Alpirsbach, Württemberg"
"Alsenz, Pfalz, Bayern"
"Alsfeld Hessen [?], Hessen"
"Alsfeld Hessen, Hessen"
"Alsfeld, Hessen"
"Alsfeld, Hessen [?]"
"Alsheim, Mainz, Bayern"
"Alsop [?], Zweibrücken, Bayern"
"Alswede, Preußen"
"Alswilen [?], Preußen"
"Alt Wallmoden, Hannover"
AltBayern
"Altdorf, Pfalz, Bayern"
"Altdorf, Württemberg"
"Alte Hausstelle, Preußen"
"Alte Schmiede [?], Westfalen"
"Altena [?], Detmold, Lippe"
"Altena [?], Hannover"
"Altena, Preußen"
"Altenau [?], Magdeburg, Sachsen (province)"
"Altenau [?], Offenburg, Baden"
"Altenbach, Baden"
"Altenbach, Heidelberg, Baden"
"Altenbamberg, Bayern"
"Altenbeuern [?], Bayern"
"Altenbruch, Hannover"
"Altenburg [?], Darmstadt, Hessen"
"Altenburg [?], Hessen"
"Altenburg, Sachsen (province)"
"Altenburg, Sachsen-Altenburg"
"Altendorf [?], Gießen, Darmstadt, Hessen"
"Altendorf, Westfalen"
"Altenfingen [?], Aarau, Switzerland"
"Altenhain, Germany"
"Altenhain, Hessen"
"Altenhaßlau, Gelnhausen, Hessen-Nassau"
"Altenhaßlau, Hessen-Nassau"
"Altenheim, Baden"
"Altenheim, Offenburg, Baden"
"Altenkirchen, Coblenz, Rheinprovinz"
"Altenlotheim, Hessen-Nassau"
"Altenrode [?], Hannover"
"Altenspark [?], Oberndorf, Württemberg"
"Altenstadt, Darmstadt, Hessen"
"Alterberg [?], Bern, Switzerland"
"Altheim, Darmstadt, Hessen"
"Altheim, Neufier [?], Posen [?]"
"Altingen, Ludwigsburg, Württemberg"
"Altmark (region), Brandenburg"
"Altmark, WestPreußen"
"Altstadt, Bayern"
"Altstadt, Germany"
"Altstadt, Heilbronn, Württemberg"
"Altwarmort [?], Hannover [?]"
"Altwillsen [?], Hessen-Nassau"
"Alverdissen, Lippe"
"Am Hoben, Bielefeld [?], Westfalen [?]"
"Ambringten [?], Westfalen"
"Amelinghausen, Hannover"
"Amstighausen [?], Hannover"
"Amthausberg, Westfalen [?]"
"Amtsfeld [?], Hessen [?]"
"Angersheim, Braunschweig"
"Ankum, Hannover"
Anna Maria Rapp
"Annweiler, Pfalz, Bayern"
"Ansberg, Württemberg"
"Anweiler, Pfalz, Bayern"
"Apach [?], Baden"
"Apfelstetten, Württemberg"
"Appenfeld [?], Homberg [?]"
"Appenhofen, Landau, Pfalz, Bayern"
"Arendorf, Hannover"
"Argau (canton), Switzerland"
"Argenschwang, Kreuznach, Rheinprovinz"
"Armsfeld, Waldeck"
"Arnsberg, Preußen"
"Arnsfeld, Sachsen (kingdom) [?]"
"Arrenkamp, Westfalen"
"Aschen, Hannover"
"Aschendorf, Hannover"
"Asel, Hannover"
"Astenbeck [?], Hannover"
"Astfeld, Braunschweig"
"Aubingen [?], Hohenzollern, Habingen [?], Rheinprovinz"
"Auch [?], Waiblingen, Württemberg"
"Audorf, Preußen"
"Auen (county) [?], Oldenburg"
"Augsberg, Bayern"
"Augsburg, Germany"
"Augsburg/Augsberg [?], Germany"
"Aurich, Hannover"
"Aurich, Ostfriesland, Hannover"
"Auringen, Wiesbaden, Hessen-Nassau"
Austria
"B [?], Hessen"
b. Schlesien
b. Thüringen
"Babenhausen, Westfalen"
"Bächingen, Bayern"
"Bächingen, Landau, Bayern"
"Bächingen, Pfalz, Bayern"
"Bad Nauheim, Hessen-Nassau"
"Badbergen, Hannover"
"Badbergen, Osnabrück [?], Hannover"
"Baddeckenstedt, Hannover"
Baden (grand duchy)
"Badhaus, Halle, Preußen"
"Badisch* [?], Germany"
Badischen [?]
"Baggerade [?], Hessen-Nassau [?]"
"Bahl [?], Germany [?]"
"Bahren [?], Bern, Switzerland"
"Baiersbronn, Freudenstadt, Württemberg"
"Baiersdorf, Nürnberg, Bayern"
"Baimhofen, Bayern"
"Balde, Westfalen"
"Bammersdorf, Bayern"
"Bansow, Mecklenburg-Schwerin"
"Bär, Württemberg"
"Barchfeld, Hessen-Nassau [?]"
"Bären [?], Luzern, Switzerland"
"Barleben, Sachsen (province)"
"Barlissen/Harz, Hannover"
"Barnhausen, Westfalen"
"Bärwalde, Germany"
"Basdorf, Hessen-Nassau"
"Basel, Switzerland"
"Bassdorf [?], Viel, Darmstadt, Hessen"
"Batensen, Hannover"
"Baterwalden [?], Switzerland"
