GIACR,Modern,Formats
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Achelpohl,Achelpohl,1
Altenhoehner,Altenhöhner,2
Arkebauer,Arkebauer,2
Armbruester,Armbrüster,2
Baehner,Bähner,2
Bauer,Bauer,2
Bauswein,Bauswein,1
Beuer,Beuer,2
Boehme,Böhme,2
Boehmer,Böhmer,2
Boening,Böning,2
Boettcher,Böttcher,2
Boetting,Bötting,2
Bosselmann,Bosselmann,2
Bosselmann,Boßelmann,2
Braunmueller,Braunmüller,2
Bruder,Bruder,1
Brueggemann,Brüggemann,2
Bruening,Brüning,2
Brutschi,Brutschi,1
Dassler,Dassler,2
Dassler,Daßler,2
Diemer,Diemer,1
Doerfler,Dörfler,2
Doering,Döring,2
Dressing,Dreßing,2
Duenkel,Dünkel,2
Esser,Esser,2
Esser,Eßer,2
Foehr,Föhr,2
Foelker,Fölker,2
Froehlich,Fröhlich,2
Fruechtnicht,Früchtnicht,2
Fuerhof,Fürhof,2
Giesselmann,Gießelmann,2
Goebel,Göbel,2
Goehring,Göhring,2
Goessling,Gößling,2
Goethlin,Göthlin,2
Gollwitzer,Gollwitzer,1
Grosse,Große,2
Grueling,Grüling,2
Gruenkemeier,Grünkemeier,2
Guenther,Günther,2
Guesstfeld,Güßfeld,2
Haeckel,Häckel,2
Haehnlein,Hähnlein,2
Haesemeyer,Häsemeyer,2
Haeublein,Häublein,2
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
Hagedorn,Achelpohl,1
